Text,Marked,Labels
ऋहलोर्ण्यत्‌,ऋहलोः+ण्यत्, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
ओरावश्यके,ओः+आवश्यके, NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
आसुयुवपिरपिलपित्रपिचमश्च,आसुयुवपिरपिलपित्रपिचमः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
आनाय्योऽनित्ये,आनाय्यः+अनित्ये, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
प्रणाय्योऽसंमतौ,प्रणाय्यः+असंमतौ, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
पाय्यसान्नाय्यनिकाय्यधाय्या मानहविर्निवाससामिधेनीषु,पाय्यसान्नाय्यनिकाय्यधाय्याः+मानहविर्निवाससामिधेनीषु, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
नन्दिग्रहिपचादिभ्यो ल्युणिन्यचः,नन्दिग्रहिपचादिभ्यः+ल्युणिन्यचः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
आतश्चोपसर्गे,आतः+च+उपसर्गे, NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP
अनुपसर्गाल्लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यश्च,अनुपसर्गात्+लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
ददातिदधात्योर्विभाषा,ददातिदधात्योः+विभाषा, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
ज्वलितिकसन्तेभ्यो णः,ज्वलितिकसन्तेभ्यः+णः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
श्याऽऽद्व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसश्च,श्याऽऽद्‍व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
दुन्योरनुपसर्गे,दुन्योः+अनुपसर्गे, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
विभाषा ग्रहेः,विभाषा+ग्रहः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
गस्थकन्,गः+थकन्, NSP NSP SP NSP NSP NSP NSP
हश्च व्रीहिकालयोः,हः+च+व्रीहिकालयोः, NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
कर्मण्यण्,कर्मणि+अण्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
ह्वावामश्च,ह्वावामः+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
आतोऽनुपसर्गे कः,आतः+अनुपसर्गे+कः, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
गापोष्टक्,गापोः+टक्, NSP NSP NSP NSP NSP SP NSP NSP NSP
हरतेरनुद्यमनेऽच्,हरतेः+अनुद्यमने+अच्, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
चरेष्टः,चरेः+टः, NSP NSP NSP NSP SP NSP NSP
पुरोऽग्रतोऽग्रेषु सर्तेः,पुरोऽग्रतोऽग्रेषु+सर्त्तेः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
कृञो हेतुताच्छील्यानुलोम्येषु,कृञः+हेतुताच्छील्यानुलोम्येषु, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
स्तम्बशकृतोरिन्,स्तम्बशकृतोः+इन्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
हरतेर्दृतिनाथयोः पशौ,हरतेः+दृतिनाथयोः+पशौ, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
फलेग्रहिरात्मम्भरिश्च,फलेग्रहिः+आत्मम्भरिः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
नासिकास्तनयोर्ध्माधेटोः,नासिकास्तनयोः+ध्माधेटोः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
नाडीमुष्ट्योश्च,नाडीमुष्ट्योः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
असूर्यललाटयोर्दृशितपोः,असूर्यललाटयोः+दृशितपोः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
उग्रम्पश्येरम्मदपाणिन्धमाश्च,उग्रम्पश्येरम्मदपाणिन्धमाः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
द्विषत्परयोस्तापेः,द्विषत्परयोः+तापेः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
वाचि यमो व्रते,वाचि+यमः+व्रते, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP
पूःसर्वयोर्दारिसहोः,पूःसर्वयोः+दारिसहोः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
क्षेमप्रियमद्रेऽण् च,क्षेमप्रियमद्रे+अण्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP
संज्ञायां भृतॄवृजिधारिसहितपिदमः,संज्ञायाम्+भृतॄवृजिधारिसहितपिदमः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
गमश्च,गमः+च, NSP NSP NSP SP NSP
कुमारशीर्षयोर्णिनिः,कुमारशीर्षयोः+णिनिः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
लक्षणे जायापत्योष्टक्,लक्षणे+जायापत्योः+टक्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
आढ्यसुभगस्थूलपलितनग्नान्धप्रियेषु च्व्य्र्थेष्वच्वौ कृञः करणे ख्युन्,आढ्यसुभगस्थूलपलितनग्नान्धप्रियेषु+च्व्यर्थेष्वच्वौ+करणे+ख्युन्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
स्पृशोऽनुदके क्विन्,स्पृशः+अनुदके+क्विन्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
ऋत्विग्दधृक्स्रग्दिगुष्णिगञ्चुयुजिक्रुञ्चां च,ऋत्विग्दधृक्स्रग्दिगुष्णिगञ्चुयुजिक्रुञ्चाम्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
त्यदादिषु दृशोऽनालोचने कञ् च,त्यदादिषु+दृशः+अनालोचने+कञ्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP
भजो ण्विः,भजः+ण्विः, NSP NSP NSP SP NSP NSP NSP NSP NSP
वहश्च,वहः+च, NSP NSP NSP SP NSP
हव्येऽनन्तः पादम्,हव्येः+अनन्तःपादम्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
जनसनखनक्रमगमो विट्,जनसनखनक्रमगमः+विट्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
अदोऽनन्ने,अदः+अनन्ने, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
दुहः कब् घश्च,दुहः+कप्+घः+च, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP SP NSP
मन्त्रे श्वेतवहौक्थशस्पुरोडाशो ण्विन्,मन्त्रे+श्वेतवहोक्थशस्पुरोडाशः+ण्विन्, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
विजुपे छन्दसि,विच्+उपे+छन्दसि, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
आतो मनिन्क्वनिप्वनिपश्च,आतः+मनिन्क्वनिप्वनिपः+च, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
अन्येभ्योऽपि दृश्यन्ते,अन्येभ्यः+अपि+दृश्यन्ते, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
सुप्यजातौ णिनिस्ताच्छिल्ये,सुपि+अजातौ+णिनिः+ताच्छील्ये, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
कर्तर्युपमाने,कर्तरि+उपमाने, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
बहुलमाभीक्ष्ण्ये,बहुलम्+आभीक्ष्ण्ये, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
आत्ममाने खश्च,आत्ममाने+खः+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP
ब्रह्मभ्रूणवृत्रेषु क्विप्‌,ब्रह्मभ्रूणवृत्रेषु+क्विप्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
बहुलं छन्दसि,बहुलम्+छन्दसि, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
कर्मण्यग्न्याख्यायाम्,कर्मणि+अग्न्याख्यायाम्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
कर्मणीनिर्विक्रियः,कर्मणि+इनि+विक्रियः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
दृशेः क्वनिप्‌,दृशेः+क्वनिप्, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
सप्तम्यां जनेर्डः,सप्तम्याम्+जनेः+डः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP
पञ्चम्यामजातौ,पञ्चम्याम्+अजातौ, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
अन्येष्वपि दृश्यते,अन्येषु+अपि+दृश्यते, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
सुयजोर्ङ्वनिप्‌,सुयजोः+ङ्वनिप्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
जीर्यतेरतृन्,जीर्यतेः+अतृन्, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
लिटः कानज्वा,लिटः+कानच्+वा, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP
क्वसुश्च,क्वसुः+च, NSP NSP NSP NSP NSP NSP SP NSP
भाषायां सदवसश्रुवः,भाषायाम्+सदवसश्रुवः, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
उपेयिवाननाश्वाननूचानश्च,उपेयिवान्+अनाश्वान्+अनूचानः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP
हशश्वतोर्लङ् च,हशश्वतोः+लङ्+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP
प्रश्ने चासन्नकाले,प्रश्ने+च+आसन्नकाले, NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
नन्वोर्विभाषा,नन्वोः+विभाषा, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
पुरि लुङ् चास्मे,पुरि+लुङ्+च+अस्मे, NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP
वर्तमाने लट्,वर्त्तमाने+लट्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
लटः शतृशानचावप्रथमासमानाधिकरणे,लटः+शतृशनचा+अप्रथमासमानाधिकरणे, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
तौ सत्‌,तौ+सत्, NSP NSP SP NSP NSP NSP
द्विषोऽमित्रे,द्विषः+अमित्रे, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
सुञो यज्ञसंयोगे,सुञः+यज्ञसंयोगे, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
आक्वेस्तच्छीलतद्धर्मतत्साधुकारिषु,आ+क्वे+तच्छीलतद्धर्मतत्साधुकारिषु, NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
णेश्छन्दसि,णेः+छन्दसि, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
भुवश्च,भुवः+च, NSP NSP NSP NSP SP NSP
ग्लाजिस्थश्च क्स्नुः,ग्लाजिस्थः+च+क्स्नुः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP
शमित्यष्टाभ्यो घिनुण्,शमिति+अष्टाभ्यः+घिनुण्, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
निन्दहिंसक्लिशखादविनाशपरिक्षिपपरिरटपरिवादिव्याभाषासूञो वुञ्,निन्दहिंसक्लिशखादविनाशपरिक्षिपपरिरटपरिवादिव्याभाषासूयः+वुञ्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
देविक्रुशोश्चोपसर्गे,देविक्रुशोः+च+पसर्गे, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP
चलनशब्दार्थादकर्मकाद्युच्,चलनशब्दार्थात्+अकर्मकात्+युच्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
अनुदात्तेतश्च हलादेः,अनुदात्तेतः+च+हलादेः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP
क्रुधमण्डार्थेभ्यश्च,क्रुधमण्डार्थेभ्यः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
सूददीपदीक्षश्च,सूददीपदीक्षः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
जल्पभिक्षकुट्टलुण्टवृङः षाकन्,जल्पभिक्षकुट्टलुण्ठवृङः+षाकन्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
प्रजोरिनिः,प्रजोः+इनिः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
जिदृक्षिविश्रीण्वमाव्यथाभ्यमपरिभूप्रसूभ्यश्च,जिदृक्षिविश्रीण्वमाव्यथाभ्यमपरिभूप्रसूभ्यः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
स्पृहिगृहिपतिदयिनिद्रातन्द्राश्रद्धाभ्य आलुच्,स्पृहिगृहिपतिदयिनिद्रातन्द्राश्रद्धाभ्यः+आलुच्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
भञ्जभासमिदो घुरच्,भञ्जभासमिदः+घुरच्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
इण्नश्जिसर्त्तिभ्यः क्वरप्‌,इण्नश्जिसर्त्तिभ्यः+क्वरप्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
गत्वरश्च,गत्वरः+च, NSP NSP NSP NSP NSP NSP SP NSP
जागुरूकः,जागुः+ऊकः, NSP NSP NSP NSP NSP SP NSP NSP NSP
यजजपदशां यङः,यजजपदशाम्+यङः, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
नमिकम्पिस्म्यजसकमहिंसदीपो रः,नमिकम्पिस्म्यजसकमहिंसदीपः+रः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
सनाशंसभिक्ष उः,सनाशंसभिक्षः+उः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
विन्दुरिच्छुः,विन्दुः+इच्छुः, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
क्याच्छन्दसि,क्यात्+छन्दसि, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
स्वपितृषोर्नजिङ्,स्वपितृषोः+नजिङ्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
शॄवन्द्योरारुः,शॄवन्द्योः+आरुः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
स्थेशभासपिसकसो वरच्,स्थेशभासपिसकसः+वरच्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
यश्च यङः,यः+च+यङः, NSP NSP SP NSP SP NSP NSP NSP
भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः क्विप्‌,भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः+क्विप्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
अन्येभ्योऽपि दृश्यते,अन्येभ्यः+अपि+दृश्यते, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
विप्रसम्भ्यो ड्वसंज्ञायाम्,विप्रसम्भ्यः+डु+असंज्ञायाम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अर्तिलूधूसूखनसहचर इत्रः,अर्तिलूधूसूखनसहचरः+इत्रः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
कर्तरि चर्षिदेवतयोः,कर्तरि+च+ऋषिदेवतयोः, NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
मतिबुद्धिपूजार्थेभ्यश्च,मतिबुद्धिपूजार्थेभ्यः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
उणादयो बहुलम्,उणादयः+बहुलम्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
भूतेऽपि दृश्यन्ते,भूते+अपि+दृश्यन्ते, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
यावत्पुरानिपातयोर्लट्,यावत्पुरानिपातयोः+लट्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
लिङ् चोर्ध्वमौहूर्तिके,लिङ्+च+ऊर्ध्वमौहूर्तिके, NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
तुमुन्ण्वुलौ क्रियायां क्रियार्थायाम्‌,तुमुन्ण्वुलौ+क्रियायाम्+क्रियार्थायाम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
भाववचनाश्च,भाववचनाः+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
लृटः सद् वा,लृटः+सत्+वा, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP
पदरुजविशस्पृशो घञ्,पदरुजविशस्पृशः+घञ्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
परिमणाख्यायां सर्वेभ्यः,परिमणाख्यायाम्+सर्वेभ्यः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
इङश्च,इङः+च, NSP NSP NSP SP NSP
श्रिणीभुवोऽनुपसर्गे,श्रिणीभुवः+अनुपसर्गे, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अवोदोर्नियः,अवोदोः+नियः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
उन्न्योर्ग्रः,उन्न्योः+ग्रः, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
प्रे स्त्रोऽयज्ञे,प्रे+स्त्रः+अयज्ञे, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
प्रथने वावशब्दे,प्रथने+वौ+अशब्दे, NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP
परिन्योर्नीणोर्द्यूताभ्रेषयोः,परिन्योः+नीणोः+द्यूताभ्रेषयोः, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
परावनुपात्यय इणः,परौ+अवनुपात्यये+इणः, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
हस्तादाने चेरस्तेये,हस्तादाने+चेः+अस्तेये, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
निवासचितिशरीरोपसमाधानेष्वादेश्च कः,निवासचितिशरीरोपसमाधानेषु+आदेः+च+कः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP SP NSP NSP
संघे चानौत्तराधर्ये,संघे+च+अनौत्तराधर्ये, NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अभिविधौ भाव इनुण्,अभिविधौ+भावे+इनुण्, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
आक्रोशेऽवन्योर्ग्रहः,आक्रोशे+अवन्योः+ग्रहः, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
विभाषाऽऽङि रुप्लुवोः,विभाषा+आङि+रुप्लुवोः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अवे ग्रहो वर्षप्रतिबन्धे,अवे+ग्रहः+वर्षप्रतिबन्धे, NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
वृणोतेराच्छादने,वृणोतेः+आच्छादने, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
परौ भुवोऽवज्ञाने,परौ+भुवः+अवज्ञाने, NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
