Text,Labels,Mapped_Text
व्यधजपोरनुपसर्गे,व्यधजपोः+अनुपसर्गे,व्यधजपोरनुपसर्गे NSP
स्वनहसोर्वा,स्वनहसोः+वा,स्वनहसोर्वा NSP
क्वणो वीणायां च,क्वणः+वीणायाम्+च,क्वणो NSP वीणायां NSP च NSP
नित्यं पणः परिमाणे,नित्यम्+पणः+परिमाणे,नित्यं NSP पणः NSP परिमाणे NSP
मदोऽनुपसर्गे,मदः+अनुपसर्गे,मदोऽनुपसर्गे NSP
समुदोरजः पशुषु,समुदोः+अजः+पशुषु,समुदोरजः NSP पशुषु NSP
ह्वः सम्प्रसारणं च न्यभ्युपविषु,ह्वः+सम्प्रसारणम्+च+न्यभ्युपविषु,ह्वः NSP सम्प्रसारणं NSP च NSP न्यभ्युपविषु NSP
निपानमाहावः,निपानम्+आहावः,निपानमाहावः NSP
भावेऽनुपसर्गस्य,भावे+अनुपसर्गस्य,भावेऽनुपसर्गस्य NSP
हनश्च वधः,हनः+च+वधः,हनश्च NSP वधः NSP
अन्तर्घनो देशे,अन्तर्घनः+देशे,अन्तर्घनो NSP देशे NSP
अगारैकदेशे प्रघणः प्रघाणश्च,अगारैकदेशे+प्रघणः+प्रघाणः+च,अगारैकदेशे NSP प्रघणः NSP प्रघाणश्च NSP
उद्घनोऽत्याधानम्,उद्‍घनः+अत्याधानम्,उद्घनोऽत्याधानम् NSP
अपघनोऽङ्गम्,अपघनः+अङ्गम्,अपघनोऽङ्गम् NSP
करणेऽयोविद्रुषु,करणे+अयोविद्रुषु,करणेऽयोविद्रुषु NSP
उपघ्न आश्रये,उपघ्नः+आश्रये,उपघ्न NSP आश्रये NSP
संघोद्घौ गणप्रशंसयोः,संघोद्‍घौ+गणप्रशंसयोः,संघोद्घौ NSP गणप्रशंसयोः NSP
निघो निमितम्,निघः+निमितम्,निघो NSP निमितम् NSP
ट्वितोऽथुच्,ट्वितः+अथुच्,ट्वितोऽथुच् NSP
यजयाचयतविच्छप्रच्छरक्षो नङ्,यजयाचयतविच्छप्रच्छरक्षः+नङ्,यजयाचयतविच्छप्रच्छरक्षो NSP नङ् NSP
स्वपो नन्,स्वपः+नन्,स्वपो NSP नन् NSP
कर्मण्यधिकरणे च,कर्मणि+अधिकरणे+च,कर्मण्यधिकरणे NSP च NSP
स्त्रियां क्तिन्,स्त्रियाम्+क्तिन्,स्त्रियां NSP क्तिन् NSP
स्थागापापचां भावे,स्थागापापचः+भावे,स्थागापापचां NSP भावे NSP
मन्त्रे वृषेषपचमनविदभूवीरा उदात्तः,मन्त्रे+वृषेषपचमनविदभूवीराः+उदात्तः,मन्त्रे NSP वृषेषपचमनविदभूवीरा NSP उदात्तः NSP
ऊतियूतिजूतिसातिहेतिकीर्तयश्च,ऊतियूतिजूतिसातिहेतिकीर्त्तयः+च,ऊतियूतिजूतिसातिहेतिकीर्तयश्च NSP
व्रजयजोर्भावे क्यप्‌,व्रजयजोः+भावे+क्यप्,व्रजयजोर्भावे NSP क्यप्‌ NSP
संज्ञायां समजनिषदनिपतमनविदषुञ्शीङ्भृञिणः,संज्ञायाम्+समजनिषदनिपतमनविदषुञ्शीङ्भृञिणः,संज्ञायां NSP समजनिषदनिपतमनविदषुञ्शीङ्भृञिणः NSP
अ प्रत्ययात्‌,अ+प्रत्ययात्,अ NSP प्रत्ययात्‌ NSP
गुरोश्च हलः,गुरोः+च+हलः,गुरोश्च NSP हलः NSP
षिद्भिदादिभ्योऽङ्,षिद्भिदादिभ्यः+अङ्,षिद्भिदादिभ्योऽङ् NSP
चिन्तिपूजिकथिकुम्बिचर्चश्च,चिन्तिपूजिकथिकुम्बिचर्चः+च,चिन्तिपूजिकथिकुम्बिचर्चश्च NSP
आतश्चोपसर्गे,आतः+च+उपसर्गे,आतश्चोपसर्गे NSP
ण्यासश्रन्थो युच्,ण्यासश्रन्थः+युच्,ण्यासश्रन्थो NSP युच् NSP
रोगाख्यायां ण्वुल् बहुलम्,रोगाख्यायाम्+ण्वुल्+बहुलम्,रोगाख्यायां NSP ण्वुल् NSP बहुलम् NSP
विभाषाऽऽख्यानपरिप्रश्नयोरिञ् च,विभाषा+आख्यानपरिप्रश्नयोः+इञ्+च,विभाषाऽऽख्यानपरिप्रश्नयोरिञ् NSP च NSP
आक्रोशे नञ्यनिः,आक्रोशे+नञि+अनिः,आक्रोशे NSP नञ्यनिः NSP
कृत्यल्युटो बहुलम्,कृत्यल्युटः+बहुलम्,कृत्यल्युटो NSP बहुलम् NSP
कर्मणि च येन संस्पर्शात्‌ कर्तुः शरीरसुखम्,कर्मणि+च+येन+संस्पर्शात्+कर्तुः+शरीरसुखम्,कर्मणि NSP च NSP येन NSP संस्पर्शात्‌ NSP कर्तुः NSP शरीरसुखम् NSP
करणाधिकरणयोश्च,करणाधिकरणयोः+च,करणाधिकरणयोश्च NSP
पुंसि संज्ञायां घः प्रायेण,पुंसि+संज्ञायाम्+घः+प्रायेण,पुंसि NSP संज्ञायां NSP घः NSP प्रायेण NSP
गोचरसंचरवहव्रजव्यजापणनिगमाश्च,गोचरसंचरवहव्रजव्यजापणनिगमाः+च,गोचरसंचरवहव्रजव्यजापणनिगमाश्च NSP
अवे तॄस्त्रोर्घञ्,अवे+तॄस्त्रोः+घञ्,अवे NSP तॄस्त्रोर्घञ् NSP
हलश्च,हलः+च,हलश्च NSP
अध्यायन्यायोद्यावसंहाराधारावयाश्च,अध्यायन्यायोद्यावसंहाराः+च,अध्यायन्यायोद्यावसंहाराधारावयाश्च NSP
उदङ्कोऽनुदके,उदङ्कः+अनुदके,उदङ्कोऽनुदके NSP
जालमानायः,जालम्+आनायः,जालमानायः NSP
खनो घ च,खनः+घ+च,खनो NSP घ NSP च NSP
कर्तृकर्मणोश्च भूकृञोः,कर्तृकर्मणोः+च+भूकृञोः,कर्तृकर्मणोश्च NSP भूकृञोः NSP
आतो युच्,आतः+युच्,आतो NSP युच् NSP
अन्येभ्योऽपि दृश्यते,अन्येभ्यः+अपि+दृश्यते,अन्येभ्योऽपि NSP दृश्यते NSP
वर्तमानसामीप्ये वर्तमानवद्वा,वर्तमानसामीप्ये+वर्तमानवत्+वा,वर्तमानसामीप्ये NSP वर्तमानवद्वा NSP
आशंसायां भूतवच्च,आशंसायाम्+भूतवत्+च,आशंसायां NSP भूतवच्च NSP
नानद्यतनवत्‌ क्रियाप्रबन्धसामीप्ययोः,न+अनद्यतनवत्+क्रियाप्रबन्धसामीप्ययोः,नानद्यतनवत्‌ NSP क्रियाप्रबन्धसामीप्ययोः NSP
भविष्यति मर्यादावचनेऽवरस्मिन्,भविष्यति+मर्यादावचने+अवरस्मिन्,भविष्यति NSP मर्यादावचनेऽवरस्मिन् NSP
कालविभागे चानहोरात्राणाम्,कालविभागे+च+अनहोरात्राणाम्,कालविभागे NSP चानहोरात्राणाम् NSP
वोताप्योः,वा+आ+उताप्योः,वोताप्योः NSP
गर्हायां लडपिजात्वोः,गर्हायाम्+लट्+अपिजात्वोः,गर्हायां NSP लडपिजात्वोः NSP
अनवकॢप्त्यमर्षयोरकिंवृत्ते अपि,अनवकॢप्त्यमर्षयोः+अकिंवृत्ते+अपि,अनवकॢप्त्यमर्षयोरकिंवृत्ते NSP अपि NSP
जातुयदोर्लिङ्,जातुयदोः+लिङ्,जातुयदोर्लिङ् NSP
गर्हायां च,गर्हायाम्+च,गर्हायां NSP च NSP
शेषे लृडयदौ,शेषे+लृट्+अयदौ,शेषे NSP लृडयदौ NSP
उताप्योः समर्थयोर्लिङ्,उताप्योः+समर्थयोः+लिङ्,उताप्योः NSP समर्थयोर्लिङ् NSP
कामप्रवेदनेऽकच्चिति,कामप्रवेदने+अकच्चिति,कामप्रवेदनेऽकच्चिति NSP
सम्भवानेऽलमिति चेत्‌ सिद्धाप्रयोगे,सम्भवाने+अलम्+इति+चेत्+सिद्धाप्रयोगे,सम्भवानेऽलमिति NSP चेत्‌ NSP सिद्धाप्रयोगे NSP
विभाषा धातौ सम्भावनवचनेऽयदि,विभाषा+धातौ+सम्भावनवचने+अयदि,विभाषा NSP धातौ NSP सम्भावनवचनेऽयदि NSP
हेतुहेतुमतोर्लिङ्,हेतुहेतुमतोः+लिङ्,हेतुहेतुमतोर्लिङ् NSP
इच्छार्थेभ्यो विभाषा वर्तमाने,इच्छार्थेभ्यो+विभाषा+वर्त्तमाने,इच्छार्थेभ्यो NSP विभाषा NSP वर्तमाने NSP
विधिनिमन्‍त्रणामन्‍त्रणाधीष्‍टसंप्रश्‍नप्रार्थनेषु लिङ्,विधिनिमन्त्रणामन्त्रणाधीष्टसम्प्रश्नप्रार्थनेषु+लिङ्,विधिनिमन्‍त्रणामन्‍त्रणाधीष्‍टसंप्रश्‍नप्रार्थनेषु NSP लिङ् NSP
प्रैषातिसर्गप्राप्तकालेषु कृत्याश्च,प्रैषातिसर्गप्राप्तकालेषु+कृत्याः+च,प्रैषातिसर्गप्राप्तकालेषु NSP कृत्याश्च NSP
लिङ् चोर्ध्वमौहूर्तिके,लिङ्+च+ऊर्ध्वमौहूर्तिके,लिङ् NSP चोर्ध्वमौहूर्तिके NSP
अर्हे कृत्यतृचश्च,अर्हे+कृत्यतृचः+च,अर्हे NSP कृत्यतृचश्च NSP
आवश्यकाधमर्ण्ययोर्णिनिः,आवश्यकाधमर्ण्ययोः+णिनिः,आवश्यकाधमर्ण्ययोर्णिनिः NSP
कृत्याश्च,कृत्याः+च,कृत्याश्च NSP
क्रियासमभिहारे लोट्; लोटो हिस्वौ; वा च तध्वमोः,क्रियासमभिहारे+लोट्+लोटः+हिस्वौ+वा+च+तध्वमोः,क्रियासमभिहारे NSP लोट्; NSP लोटो NSP हिस्वौ; NSP वा NSP च NSP तध्वमोः NSP
समुच्चयेऽन्यतरस्याम्,समुच्चये+अन्यतरस्याम्,समुच्चयेऽन्यतरस्याम् NSP
यथाविध्यनुप्रयोगः पूर्वस्मिन्,यथाविधि+अनुप्रयोगः+पूर्वस्मिन्,यथाविध्यनुप्रयोगः NSP पूर्वस्मिन् NSP
उपसंवादाशङ्कयोश्च,उपसंवादाशङ्कयोः+च,उपसंवादाशङ्कयोश्च NSP
तुमर्थे सेसेनसेअसेन्क्सेकसेनध्यैअध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,तुमर्थे+सेसेनसेसेन्क्सेकसेनध्यैध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,तुमर्थे NSP सेसेनसेअसेन्क्सेकसेनध्यैअध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः NSP
भावलक्षणे स्थेण्कृञ्वदिचरिहुतमिजनिभ्यस्तोसुन्,भावलक्षणे+स्थेण्कृञ्वदिचरिहुतमिजनिभ्यः+तोसुन्,भावलक्षणे NSP स्थेण्कृञ्वदिचरिहुतमिजनिभ्यस्तोसुन् NSP
अलङ्खल्वोः प्रतिषेधयोः प्राचां क्त्वा,अलङ्खल्वोः+प्रतिषेधयोः+प्राचाम्+क्त्वा,अलङ्खल्वोः NSP प्रतिषेधयोः NSP प्राचां NSP क्त्वा NSP
उदीचां माङो व्यतीहारे,उदीचाम्+माङः+व्यतीहारे,उदीचां NSP माङो NSP व्यतीहारे NSP
समानकर्तृकयोः पूर्वकाले,समानकर्त्तृकयोः+पूर्वकाले,समानकर्तृकयोः NSP पूर्वकाले NSP
न यद्यनाकाङ्क्षे,न+यदि+अनाकाङ्क्षे,न NSP यद्यनाकाङ्क्षे NSP
विभाषाऽग्रेप्रथमपूर्वेषु,विभाषा+अग्रेप्रथमपूर्वेषु,विभाषाऽग्रेप्रथमपूर्वेषु NSP
कर्मण्याक्रोशे कृञः खमुञ्,कर्मणि+आक्रोशे+कृञः+खमुञ्,कर्मण्याक्रोशे NSP कृञः NSP खमुञ् NSP
अन्यथैवंकथमित्थंसु सिद्धाप्रयोगश्चेत्‌,अन्यथैवंकथमित्थंसु+सिद्धाप्रयोगः+चेत्,अन्यथैवंकथमित्थंसु NSP सिद्धाप्रयोगश्चेत्‌ NSP
यथातथयोरसूयाप्रतिवचने,यथातथयोः+असूयाप्रतिवचने,यथातथयोरसूयाप्रतिवचने NSP
वर्षप्रमाण ऊलोपश्चास्यान्यतरस्याम्,वर्षप्रमाणे+ऊलोपः+च+अस्य+अन्यतरास्यम्,वर्षप्रमाण NSP ऊलोपश्चास्यान्यतरस्याम् NSP
कर्त्रोर्जीवपुरुषयोर्नशिवहोः,कर्त्रोः+जीवपुरुषयोः+नशिवहोः,कर्त्रोर्जीवपुरुषयोर्नशिवहोः NSP
कषादिषु यथाविध्यनुप्रयोगः,कषादिषु+यथाविधि+अनुप्रयोगः,कषादिषु NSP यथाविध्यनुप्रयोगः NSP
उपदंशस्तृतीयायाम्,उपदंशः+तृतीयायाम्,उपदंशस्तृतीयायाम् NSP
हिंसार्थानां च समानकर्मकाणाम्,हिंसार्थानाम्+च+समानकर्मकाणाम्,हिंसार्थानां NSP च NSP समानकर्मकाणाम् NSP
सप्तम्यां चोपपीडरुधकर्षः,सप्तम्याम्+च+उपपीडरुधकर्षः,सप्तम्यां NSP चोपपीडरुधकर्षः NSP
द्वितीयायां च,द्वितीयायाम्+च,द्वितीयायां NSP च NSP
स्वाङ्गेऽध्रुवे,स्वाङ्गे+अध्रुवे,स्वाङ्गेऽध्रुवे NSP
विशिपतिपदिस्कन्दां व्याप्यमानासेव्यमानयोः,विशिपतिपदिस्कन्दाम्+व्याप्यमानासेव्यमानयोः,विशिपतिपदिस्कन्दां NSP व्याप्यमानासेव्यमानयोः NSP
नाम्न्यादिशिग्रहोः,नाम्नि+आदिशिग्रहोः,नाम्न्यादिशिग्रहोः NSP
अव्ययेऽयथाभिप्रेताख्याने कृञः क्त्वाणमुलौ,अव्यये+अयथाभिप्रेताख्याने+कृञः+क्त्वाणमुलौ,अव्ययेऽयथाभिप्रेताख्याने NSP कृञः NSP क्त्वाणमुलौ NSP
तिर्यच्यपवर्गे,तिर्यचि+अपवर्गे,तिर्यच्यपवर्गे NSP
अन्वच्यानुलोम्ये,अन्वचि+आनुलोम्ये,अन्वच्यानुलोम्ये NSP
'शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु तुमुन्,शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु+तुमुन्,'शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु NSP तुमुन् NSP
पर्याप्तिवचनेष्वलमर्थेषु,पर्याप्तिवचनेषु+अलमर्थेषु,पर्याप्तिवचनेष्वलमर्थेषु NSP
कर्तरि कृत्‌,कर्त्तरि+कृत्,कर्तरि NSP कृत्‌ NSP
भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या वा,भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्याः+वा,भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या NSP वा NSP
लः कर्मणि च भावे चाकर्मकेभ्यः.,लः+कर्मणि+च+भावे+च+अकर्मकेभ्यः,लः NSP कर्मणि NSP च NSP भावे NSP चाकर्मकेभ्यः. NSP
तयोरेव कृत्यक्तखलर्थाः,तयोः+एव+कृत्यक्तखलर्थाः,तयोरेव NSP कृत्यक्तखलर्थाः NSP
अदिकर्मणि क्तः कर्तरि च,आदिकर्मणि+क्तः+कर्त्तरि+च,अदिकर्मणि NSP क्तः NSP कर्तरि NSP च NSP
गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यश्च,गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यः+च,गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यश्च NSP
भीमादयोऽपादाने,भीमादयः+अपादाने,भीमादयोऽपादाने NSP
ताभ्यामन्यत्रोणादयः,ताभ्याम्+अन्यत्र+उणादयः,ताभ्यामन्यत्रोणादयः NSP
क्तोऽधिकरणे च ध्रौव्यगतिप्रत्यवसानार्थेभ्यः,क्तः+अधिकरणे+च+ध्रौव्यगतिप्रत्यवसानार्थेभ्यः,क्तोऽधिकरणे NSP च NSP ध्रौव्यगतिप्रत्यवसानार्थेभ्यः NSP
टित आत्मनेपदानां टेरे,टितः+आत्मनेपदानाम्+टेः+ए,टित NSP आत्मनेपदानां NSP टेरे NSP
थासस्से,थासः+से,थासस्से NSP
लिटस्तझयोरेशिरेच्,लिटः+तझयोः+एशिरेच्,लिटस्तझयोरेशिरेच् NSP
परस्मैपदानां णलतुसुस्थलथुसणल्वमाः,परस्मैपदानाम्+णलतुसुस्थलथुसणल्वमाः,परस्मैपदानां NSP णलतुसुस्थलथुसणल्वमाः NSP
विदो लटो वा,विदः+लटः+वा,विदो NSP लटो NSP वा NSP
ब्रुवः पञ्चानामादित आहो ब्रुवः,ब्रुवः+पञ्चानाम्+आदितः+आहः+ब्रुवः,ब्रुवः NSP पञ्चानामादित NSP आहो NSP ब्रुवः NSP
लोटो लङ्वत्‌,लोटः+लङ्वत्,लोटो NSP लङ्वत्‌ NSP
एरुः,एः+उः,एरुः NSP
सेर्ह्यपिच्च,सेः+हि+अपित्+च,सेर्ह्यपिच्च NSP
मेर्निः,मेः+निः,मेर्निः NSP
आमेतः,आम्+एतः,आमेतः NSP
सवाभ्यां वामौ,सवाभ्याम्+वामौ,सवाभ्यां NSP वामौ NSP
आडुत्तमस्य पिच्च,आट्+उत्तमस्य+पित्+च,आडुत्तमस्य NSP पिच्च NSP
एत ऐ,एतः+ऐ,एत NSP ऐ NSP
लेटोऽडाटौ,लेटः+अडाटौ,लेटोऽडाटौ NSP
आत ऐ,आतः+ऐ,आत NSP ऐ NSP
वैतोऽन्यत्र,वा+एतः+अन्यत्र,वैतोऽन्यत्र NSP
इतश्च लोपः परस्मैपदेषु,इतः+च+लोपः+परस्मैपदेषु,इतश्च NSP लोपः NSP परस्मैपदेषु NSP
स उत्तमस्य,सः+उत्तमस्य,स NSP उत्तमस्य NSP
नित्यं ङितः,नित्यम्+ङितः,नित्यं NSP ङितः NSP
इतश्च,इतः+च,इतश्च NSP
तस्थस्थमिपां तांतंतामः,तस्थस्थमिपाम्+तांतंतामः,तस्थस्थमिपां NSP तांतंतामः NSP
लिङस्सीयुट्,लिङः+सीयुट्,लिङस्सीयुट् NSP
यासुट् परस्मैपदेषूदात्तो ङिच्च,यासुट्+परस्मैपदेषु+उदात्तः+ङित्+च,यासुट् NSP परस्मैपदेषूदात्तो NSP ङिच्च NSP
किदाशिषि,कित्+आशिषि,किदाशिषि NSP
इटोऽत्‌,इटः+अत्,इटोऽत्‌ NSP
झेर्जुस्,झेः+जुस्,झेर्जुस् NSP
लङः शाकटायनस्यैव,लङः+शाकटायनस्य+एव,लङः NSP शाकटायनस्यैव NSP
द्विषश्च,द्विषः+च,द्विषश्च NSP
आर्द्धधातुकं शेषः,आर्द्धधातुकम्+शेषः,आर्द्धधातुकं NSP शेषः NSP
लिङाशिषि,लिङ्+आशिषि,लिङाशिषि NSP
छन्दस्युभयथा,छन्दसि+उभयथा,छन्दस्युभयथा NSP
अजाद्यतष्टाप्‌,अजाद्यतः+टाप्,अजाद्यतष्टाप्‌ NSP
ऋन्नेभ्यो ङीप्‌,ऋन्नेभ्यः+ङीप्,ऋन्नेभ्यो NSP ङीप्‌ NSP
उगितश्च,उगितः+च,उगितश्च NSP
वनो र च,वनः+र+च,वनो NSP र NSP च NSP
पादोऽन्यतरस्याम्,पादः+अन्यतरस्याम्,पादोऽन्यतरस्याम् NSP
टाबृचि,टप्+ऋचि,टाबृचि NSP
न षट्स्वस्रादिभ्यः,न+षट्‍स्वस्रादिभ्यः,न NSP षट्स्वस्रादिभ्यः NSP
अनो बहुव्रीहेः,अनः+बहुव्रीहेः,अनो NSP बहुव्रीहेः NSP
डाबुभाभ्यामन्यतरस्याम्‌,डप्+उभाभ्याम्+अन्यतरस्याम्,डाबुभाभ्यामन्यतरस्याम्‌ NSP
यञश्च,यञः+च,यञश्च NSP
प्राचां ष्फ तद्धितः,प्राचाम्+ष्फः+तद्धितः,प्राचां NSP ष्फ NSP तद्धितः NSP
कौरव्यमाण्डूकाभ्यां च,कौरव्यमाण्डूकाभ्याम्+च,कौरव्यमाण्डूकाभ्यां NSP च NSP
अपरिमाणबिस्ताचितकम्बल्येभ्यो न तद्धितलुकि,अपरिमाणबिस्ताचितकम्बल्येभ्यः+न+तद्धितलुकि,अपरिमाणबिस्ताचितकम्बल्येभ्यो NSP न NSP तद्धितलुकि NSP
काण्डान्तात्‌ क्षेत्रे,काण्डान्तात्+क्षेत्रे,काण्डान्तात्‌ NSP क्षेत्रे NSP
पुरुषात्‌ प्रमाणेऽन्यतरस्याम्,पुरुषात्+प्रमाणे+अन्यतरस्याम्,पुरुषात्‌ NSP प्रमाणेऽन्यतरस्याम् NSP
बहुव्रीहेरूधसो ङीष्।,बहुव्रीहेः+ऊधसः+ङीष्,बहुव्रीहेरूधसो NSP ङीष्। NSP
संख्याऽव्ययादेर्ङीप्‌,संख्याऽव्ययादेः+ङीप्,संख्याऽव्ययादेर्ङीप्‌ NSP
दामहायनान्ताच्च,दामहायनान्तात्+च,दामहायनान्ताच्च NSP
अन उपधालोपिनोन्यतरस्याम्,अनः+उपधालोपिनः+अन्यतरस्याम्,अन NSP उपधालोपिनोन्यतरस्याम् NSP
नित्यं संज्ञाछन्दसोः,नित्यम्+संज्ञाछन्दसोः,नित्यं NSP संज्ञाछन्दसोः NSP
केवलमामकभागधेयपापापरसमानार्यकृत-सुमङ्गलभेषजाच्च,केवलमामकभागधेयपापापरसमानार्यकृतसुमङ्गलभेषजात्+च,केवलमामकभागधेयपापापरसमानार्यकृत-सुमङ्गलभेषजाच्च NSP
रात्रेश्चाजसौ,रात्रेः+च+अजसौ,रात्रेश्चाजसौ NSP
अन्तर्वत्पतिवतोर्नुक्,अन्तर्वत्पतिवतोः+नुक्,अन्तर्वत्पतिवतोर्नुक् NSP
पत्युर्नो यज्ञसंयोगे,पत्युः+नः+यज्ञसंयोगे,पत्युर्नो NSP यज्ञसंयोगे NSP
नित्यं सपत्न्य्आदिषु,नित्यम्+सपत्न्यादिषु,नित्यं NSP सपत्न्य्आदिषु NSP
पूतक्रतोरै च,पूतक्रतोः+ऐ+च,पूतक्रतोरै NSP च NSP
वृषाकप्यग्निकुसितकुसीदानामुदात्तः,वृषाकप्यग्निकुसितकुसीदानाम्+उदात्तः,वृषाकप्यग्निकुसितकुसीदानामुदात्तः NSP
मनोरौ वा,मनोः+औ+वा,मनोरौ NSP वा NSP
वर्णादनुदात्तात्तोपधात्तो नः,वर्णात्+अनुदात्तात्+तोपधात्+तः+नः,वर्णादनुदात्तात्तोपधात्तो NSP नः NSP
अन्यतो ङीष्।,अन्यतः+ङीष्,अन्यतो NSP ङीष्। NSP
षिद्गौरादिभ्यश्च,षिद्गौरादिभ्यः+च,षिद्गौरादिभ्यश्च NSP
जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबराद्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबरात्+वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबराद्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु NSP
शोणात्‌ प्राचाम्,शोणात्+प्राचाम्,शोणात्‌ NSP प्राचाम् NSP
वोतो गुणवचनात्‌,वा+उतः+गुणवचनात्,वोतो NSP गुणवचनात्‌ NSP
बह्वादिभ्यश्च,बह्वादिभ्यः+च,बह्वादिभ्यश्च NSP
नित्यं छन्दसि,नित्यम्+छन्दसि,नित्यं NSP छन्दसि NSP
भुवश्च,भुवः+च,भुवश्च NSP
पुंयोगादाख्यायाम्,पुंयोगात्+आख्यायाम्,पुंयोगादाख्यायाम् NSP
इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणामानुक्,इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणाम्+आनुक्,इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणामानुक् NSP
क्रीतात्‌ करणपूर्वात्‌,क्रीतात्+करणपूर्वात्,क्रीतात्‌ NSP करणपूर्वात्‌ NSP
क्तादल्पाख्यायाम्,क्तात्+अल्पाख्यायाम्,क्तादल्पाख्यायाम् NSP
बहुव्रीहेश्चान्तोदात्तात्‌,बहुव्रीहेः+च+अन्तोदात्तात्,बहुव्रीहेश्चान्तोदात्तात्‌ NSP
अस्वाङ्गपूर्वपदाद्वा,अस्वाङ्गपूर्वपदात्+वा,अस्वाङ्गपूर्वपदाद्वा NSP
स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌,स्वाङ्गात्+च+उपसर्जनात्+असंयोगोपधात्,स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌ NSP
नासिकोदरौष्ठजङ्घादन्तकर्णशृङ्गाच्च,नासिकोदरौष्ठजङ्‍घादन्तकर्णशृङ्गात्+च,नासिकोदरौष्ठजङ्घादन्तकर्णशृङ्गाच्च NSP
सहनञ्विद्यमानपूर्वाच्च,सहनञ्‍विद्यमानपूर्वात्+च,सहनञ्विद्यमानपूर्वाच्च NSP
नखमुखात्‌ संज्ञायाम्,नखमुखात्+संज्ञायाम्,नखमुखात्‌ NSP संज्ञायाम् NSP
दीर्घजिह्वी च च्छन्दसि,दीर्घजिह्वी+च+छन्दसि,दीर्घजिह्वी NSP च NSP च्छन्दसि NSP
दिक्पूर्वपदान्ङीप्‌,दिक्पूर्वपदात्+ङीप्,दिक्पूर्वपदान्ङीप्‌ NSP
सख्यशिश्वीति भाषायाम्,सखी+अशिश्वी+इति+भाषायाम्,सख्यशिश्वीति NSP भाषायाम् NSP
जातेरस्त्रीविषयादयोपधात्‌,जातेः+अस्त्रीविषयात्+अयोपधात्,जातेरस्त्रीविषयादयोपधात्‌ NSP
पाककर्णपर्णपुष्पफलमूलबालोत्तरपदाच्च,पाककर्णपर्णपुष्पफलमूलवालोत्तरपदात्+च,पाककर्णपर्णपुष्पफलमूलबालोत्तरपदाच्च NSP
इतो मनुष्यजातेः,इतः+मनुष्यजातेः,इतो NSP मनुष्यजातेः NSP
ऊङुतः,ऊङ्+उतः,ऊङुतः NSP
बाह्वन्तात्‌ संज्ञायाम्,बाह्वन्तात्+संज्ञायाम्,बाह्वन्तात्‌ NSP संज्ञायाम् NSP
पङ्गोश्च,पङ्गोः+च,पङ्गोश्च NSP
ऊरूत्तरपदादौपम्ये,ऊरूत्तरपदात्+औपम्ये,ऊरूत्तरपदादौपम्ये NSP
संहितशफलक्षणवामादेश्च,संहितशफलक्षणवामादेः+च,संहितशफलक्षणवामादेश्च NSP
कद्रुकमण्डल्वोश्छन्दसि,कद्रुकमण्डल्वोः+छन्दसि,कद्रुकमण्डल्वोश्छन्दसि NSP
शार्ङ्गरवाद्यञो ङीन्,शार्ङ्गरवाद्यञः+ङीन्,शार्ङ्गरवाद्यञो NSP ङीन् NSP
यङश्चाप्‌,यङः+चाप्,यङश्चाप्‌ NSP
आवट्याच्च,आवट्यात्+च,आवट्याच्च NSP
यूनस्तिः,यूनः+तिः,यूनस्तिः NSP
